market,region,currency,fx_year,concatenate,fx_to_eur,fx_to_dkk,source,notes,added_at
Albania,CEEI,Euro,2024,Euro_2024,1,7.45676,Carlsberg Group Finance,,
Azerbaijan,CEEI,Euro,2024,Euro_2024,1,7.45676,Carlsberg Group Finance,,
Belgium,CE&L,Euro,2024,Euro_2024,1,7.45676,Carlsberg Group Finance,,
Bosnia and Herzegovina,CEEI,Euro,2024,Euro_2024,1,7.45676,Carlsberg Group Finance,,
Bulgaria,CEEI,Bulgarian Lev,2024,Bulgarian Lev_2024,0.511299724,3.812639329,Carlsberg Group Finance,,
Cambodia,Asia,US Dollar,2024,US Dollar_2024,0.906308953,6.758128345,Carlsberg Group Finance,,
Canada,CEEI,Canadian Dollar,2024,Canadian Dollar_2024,0.677905389,5.054977788,Carlsberg Group Finance,,
China,Asia,Chinese Yuan Renminbi,2024,Chinese Yuan Renminbi_2024,0.127912594,0.953813513,Carlsberg Group Finance,,
Croatia,CEEI,Euro,2024,Euro_2024,1,7.45676,Carlsberg Group Finance,,
Denmark,WER,Danish Krone,2024,Danish Krone_2024,0.134106502,1,Carlsberg Group Finance,,
Egypt,CE&L,US Dollar,2024,US Dollar_2024,0.906308953,6.758128345,Carlsberg Group Finance,,
Estonia,CEEI,Euro,2024,Euro_2024,1,7.45676,Carlsberg Group Finance,,
Finland,WER,Euro,2024,Euro_2024,1,7.45676,Carlsberg Group Finance,,
France,WER,Euro,2024,Euro_2024,1,7.45676,Carlsberg Group Finance,,
Germany,WER,Euro,2024,Euro_2024,1,7.45676,Carlsberg Group Finance,,
Greece,CEEI,Euro,2024,Euro_2024,1,7.45676,Carlsberg Group Finance,,
Hong Kong,Asia,Hong Kong Dollar,2024,Hong Kong Dollar_2024,0.116334105,0.867475503,Carlsberg Group Finance,,
Hungary,CEEI,Hungarian Forint,2024,Hungarian Forint_2024,0.002589411,0.019308619,Carlsberg Group Finance,,
India,CEEI,Indian Rupiah,2024,Indian Rupiah_2024,0.010847356,0.080886128,Carlsberg Group Finance,,
Italy,CEEI,Euro,2024,Euro_2024,1,7.45676,Carlsberg Group Finance,,
Kazakhstan,CEEI,Kazakhstani Tenge,2024,Kazakhstani Tenge_2024,0.001943846,0.014494793,Carlsberg Group Finance,,
Latvia,CEEI,Euro,2024,Euro_2024,1,7.45676,Carlsberg Group Finance,,
Lithuania,CEEI,Euro,2024,Euro_2024,1,7.45676,Carlsberg Group Finance,,
Malaysia,Asia,Malaysian Ringgit,2024,Malaysian Ringgit_2024,0.196696072,1.466715405,Carlsberg Group Finance,,
Montenegro,CEEI,Euro,2024,Euro_2024,1,7.45676,Carlsberg Group Finance,,
Norway,WER,Norwegian Krone,2024,Norwegian Krone_2024,0.08830656,0.658480825,Carlsberg Group Finance,,
Poland,WER,Polish Zloty,2024,Polish Zloty_2024,0.227123574,1.693605983,Carlsberg Group Finance,,
Saudi Arabia,CE&L,US Dollar,2024,US Dollar_2024,0.906308953,6.758128345,Carlsberg Group Finance,,
Serbia,CEEI,Serbian Dinar,2024,Serbian Dinar_2024,0.008466943,0.063135964,Carlsberg Group Finance,,
Singapore,Asia,Singapore Dollar,2024,Singapore Dollar_2024,0.68494042,5.10743633,Carlsberg Group Finance,,
South Korea,CE&L,South Korean Won,2024,South Korean Won_2024,0.000692081,0.005160685,Carlsberg Group Finance,,
Sweden,WER,Swedish Krona,2024,Swedish Krona_2024,0.088616227,0.660789934,Carlsberg Group Finance,,
Switzerland,WER,Swiss Franc,2024,Swiss Franc_2024,1.080352573,8.055929853,Carlsberg Group Finance,,
Ukraine,CEEI,Ukrainian Hryvnia,2024,Ukrainian Hryvnia_2024,0.023359946,0.174189514,Carlsberg Group Finance,,
United Kingdom,WER,British Pound,2024,British Pound_2024,1.155715101,8.617890135,Carlsberg Group Finance,,
Vietnam,Asia,Vietnamese Dong,2024,Vietnamese Dong_2024,3.76E-05,0.000280213,Carlsberg Group Finance,,
Albania,CEEI,Euro,2025,Euro_2025,1,7.4623,Carlsberg Group Finance,,
Azerbaijan,CEEI,Euro,2025,Euro_2025,1,7.4623,Carlsberg Group Finance,,
Belgium,CE&L,Euro,2025,Euro_2025,1,7.4623,Carlsberg Group Finance,,
Bosnia and Herzegovina,CEEI,Euro,2025,Euro_2025,1,7.4623,Carlsberg Group Finance,,
Bulgaria,CEEI,Bulgarian Lev,2025,Bulgarian Lev_2025,0.511273582,3.815276855,Carlsberg Group Finance,,
Cambodia,Asia,US Dollar,2025,US Dollar_2025,0.913526913,6.817011881,Carlsberg Group Finance,,
Canada,CEEI,Canadian Dollar,2025,Canadian Dollar_2025,0.664208961,4.956526527,Carlsberg Group Finance,,
China,Asia,Chinese Yuan Renminbi,2025,Chinese Yuan Renminbi_2025,0.128193254,0.956616519,Carlsberg Group Finance,,
Croatia,CEEI,Euro,2025,Euro_2025,1,7.4623,Carlsberg Group Finance,,
Denmark,WER,Danish Krone,2025,Danish Krone_2025,0.134006942,1,Carlsberg Group Finance,,
Egypt,CE&L,US Dollar,2025,US Dollar_2025,0.913526913,6.817011881,Carlsberg Group Finance,,
Estonia,CEEI,Euro,2025,Euro_2025,1,7.4623,Carlsberg Group Finance,,
Finland,WER,Euro,2025,Euro_2025,1,7.4623,Carlsberg Group Finance,,
France,WER,Euro,2025,Euro_2025,1,7.4623,Carlsberg Group Finance,,
Germany,WER,Euro,2025,Euro_2025,1,7.4623,Carlsberg Group Finance,,
Greece,CEEI,Euro,2025,Euro_2025,1,7.4623,Carlsberg Group Finance,,
Hong Kong,Asia,Hong Kong Dollar,2025,Hong Kong Dollar_2025,0.117762861,0.8787818,Carlsberg Group Finance,,
Hungary,CEEI,Hungarian Forint,2025,Hungarian Forint_2025,0.002465275,0.018396624,Carlsberg Group Finance,,
India,CEEI,Indian Rupiah,2025,Indian Rupiah_2025,0.010726722,0.080046018,Carlsberg Group Finance,,
Italy,CEEI,Euro,2025,Euro_2025,1,7.4623,Carlsberg Group Finance,,
Kazakhstan,CEEI,Kazakhstani Tenge,2025,Kazakhstani Tenge_2025,0.001827009,0.013633692,Carlsberg Group Finance,,
Latvia,CEEI,Euro,2025,Euro_2025,1,7.4623,Carlsberg Group Finance,,
Lithuania,CEEI,Euro,2025,Euro_2025,1,7.4623,Carlsberg Group Finance,,
Malaysia,Asia,Malaysian Ringgit,2025,Malaysian Ringgit_2025,0.205579805,1.53409818,Carlsberg Group Finance,,
Montenegro,CEEI,Euro,2025,Euro_2025,1,7.4623,Carlsberg Group Finance,,
Norway,WER,Norwegian Krone,2025,Norwegian Krone_2025,0.083527402,0.623306534,Carlsberg Group Finance,,
Poland,WER,Polish Zloty,2025,Polish Zloty_2025,0.227093117,1.694636969,Carlsberg Group Finance,,
Saudi Arabia,CE&L,US Dollar,2025,US Dollar_2025,0.913526913,6.817011881,Carlsberg Group Finance,,
Serbia,CEEI,Serbian Dinar,2025,Serbian Dinar_2025,0.008420654,0.06283745,Carlsberg Group Finance,,
Singapore,Asia,Singapore Dollar,2025,Singapore Dollar_2025,0.695202408,5.187808931,Carlsberg Group Finance,,
South Korea,CE&L,South Korean Won,2025,South Korean Won_2025,0.00067786,0.005058398,Carlsberg Group Finance,,
Sweden,WER,Swedish Krona,2025,Swedish Krona_2025,0.08651361,0.645590509,Carlsberg Group Finance,,
Switzerland,WER,Swiss Franc,2025,Swiss Franc_2025,1.085642363,8.101389009,Carlsberg Group Finance,,
Ukraine,CEEI,Ukrainian Hryvnia,2025,Ukrainian Hryvnia_2025,0.020761975,0.154932088,Carlsberg Group Finance,,
United Kingdom,WER,British Pound,2025,British Pound_2025,1.162818686,8.677301884,Carlsberg Group Finance,,
Vietnam,Asia,Vietnamese Dong,2025,Vietnamese Dong_2025,3.63E-05,0.000270741,Carlsberg Group Finance,,