market,region,pbi_market_type
Albania,CEEI,Other
Azerbaijan,CEEI,Other
Belgium,CE&L,CE&L
Bosnia and Herzegovina,CEEI,Other
Bulgaria,CEEI,Other
Cambodia,Asia,Improve challenging markets
Canada,CEEI,Other
China,Asia,Keep winning in
Croatia,CEEI,Other
Denmark,WER,Drive profitable growth in strong markets
Egypt,CE&L,CE&L
Estonia,CEEI,Other
Finland,WER,Drive profitable growth in strong markets
France,WER,Improve challenging markets
Germany,WER,Improve challenging markets
Greece,CEEI,Other
Hong Kong,Asia,Other
Hungary,CEEI,Other
India,CEEI,Develop high potential markets
Italy,CEEI,Other
Kazakhstan,CEEI,Other
Latvia,CEEI,Other
Lithuania,CEEI,Other
Malaysia,Asia,Drive profitable growth in strong markets
Montenegro,CEEI,Other
Norway,WER,Drive profitable growth in strong markets
Poland,WER,Improve challenging markets
Saudi Arabia,CE&L,CE&L
Serbia,CEEI,Other
Singapore,Asia,Other
South Korea,CE&L,CE&L
Sweden,WER,Drive profitable growth in strong markets
Switzerland,WER,Drive profitable growth in strong markets
Ukraine,CEEI,Drive profitable growth in strong markets
United Kingdom,WER,Drive profitable growth in strong markets
Vietnam,Asia,Develop high potential markets